_unit_id,_golden,_canary,_unit_state,_trusted_judgments,_last_judgment_at,google1_correct_website,google1_correct_website:confidence,google1_correct_website_found,google1_correct_website_found:confidence,google1_correct_website_worker_input,google1_correct_website_worker_input:confidence,info_about_park_on_a_list_website,info_about_park_on_a_list_website:confidence,info_about_park_on_a_list_website_worker_input,info_about_park_on_a_list_website_worker_input:confidence,park_info_found_on_state_website,park_info_found_on_state_website:confidence,google1_correct_website_found_gold,google1_correct_website_gold,info_about_park_on_a_list_website_gold,national_or_state,park_info_found_on_state_website_gold,park_name,park_state,park_wikipedia_url,state_park,unit_id
522769621,FALSE,,finalized,3,8/10/14 8:06,https://dnr.state.il.us/lands/landmgt/parks/r5/sielbeck.htm,0.6611,yes,1,https://dnr.state.il.us/lands/landmgt/parks/r5/sielbeck.htm,0.6611,,,,0,,,,,,state,,Sielbeck Forest Natural Area,Illinois,http://en.wikipedia.org/wiki/Sielbeck_Forest_Natural_Area,,56215
522769622,FALSE,,finalized,3,8/10/14 8:18,http://nhstateparks.org/explore/state-parks/mollidgewock-state-park.aspx,1,yes,1,http://www.nhstateparks.org/explore/state-parks/mollidgewock-state-park.aspx,1,,,,0,,,,,,state,,Mollidgewock State Park,New Hampshire,http://en.wikipedia.org/w/index.php?title=Mollidgewock_State_Park&action=edit&redlink=1,,59243
522769623,FALSE,,finalized,3,8/10/14 7:24,http://oregonstateparks.org/?do=parkPage.dsp_parkPage&parkId=26,1,yes,1,http://www.oregonstateparks.org/index.cfm?do=parkPage.dsp_parkPage&parkId=26,1,,,,0,,,,,,state,,Prineville Reservoir State Park,Oregon,http://en.wikipedia.org/wiki/Prineville_Reservoir_State_Park,,24169
522769624,FALSE,,finalized,3,8/10/14 11:40,http://gfp.sd.gov/state-parks/directory/mickelson-trail/default.aspx,0.6886,yes,1,http://gfp.sd.gov/state-parks/directory/mickelson-trail/default.aspx,0.6886,,,,0,,,,,,state,,George S. Mickelson Trail,South Dakota,http://en.wikipedia.org/wiki/George_S._Mickelson_Trail,,27441
522769625,FALSE,,finalized,3,8/10/14 8:03,http://hawaiistateparks.org/parks/kauai/napali.cfm,1,yes,1,http://www.hawaiistateparks.org/parks/kauai/napali.cfm,0.6695,,,,0,,,,,,state,,N_ Pali Coast State Wilderness Park,Hawaii,http://en.wikipedia.org/wiki/N%C4%81_Pali_Coast_State_Park,,33956
522769626,FALSE,,finalized,3,8/10/14 7:42,http://vtstateparks.com/htm/brighton.htm,1,yes,1,http://www.vtstateparks.com/htm/brighton.htm,1,,,,0,,,,,,state,,Brighton State Park,Vermont,http://en.wikipedia.org/w/index.php?title=Brighton_State_Park&action=edit&redlink=1,,43929
522769627,FALSE,,finalized,3,8/10/14 7:15,http://state.nj.us/dep/parksandforests/historic/olddutch-wallace/odwh-wallacehouse.htm,1,yes,1,http://www.state.nj.us/dep/parksandforests/historic/olddutch-wallace/odwh-wallacehouse.htm,1,,,,0,,,,,,state,,Wallace House,New Jersey,"http://en.wikipedia.org/wiki/Wallace_House_(Somerville,_New_Jersey)",,17337
522769628,FALSE,,finalized,3,8/10/14 8:08,http://mass.gov/eea/agencies/dcr/massparks/region-south/demarest-lloyd-state-park.html,1,yes,1,http://www.mass.gov/eea/agencies/dcr/massparks/region-south/demarest-lloyd-state-park.html,1,,,,0,,,,,,state,,Demarest Lloyd State Park,Massachusetts,http://en.wikipedia.org/wiki/Demarest_Lloyd_State_Park,,47555
522769629,FALSE,,finalized,3,8/10/14 11:25,http://southcarolinaparks.com/myrtlebeach/introduction.aspx,1,yes,1,http://www.southcarolinaparks.com/myrtlebeach/introduction.aspx,1,,,,0,,,,,,state,,Myrtle Beach State Park,South Carolina,http://en.wikipedia.org/wiki/Myrtle_Beach_State_Park,,55618
522769630,FALSE,,finalized,3,8/10/14 7:59,http://mass.gov/eea/agencies/dcr/massparks/region-central/nashua-river-rail-trail.html,1,yes,1,http://www.mass.gov/eea/agencies/dcr/massparks/region-central/nashua-river-rail-trail.html,1,,,,0,,,,,,state,,Nashua River Rail Trail,Massachusetts,http://en.wikipedia.org/wiki/Nashua_River_Rail_Trail,,21703
