--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2000 a 27/08/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83781;03/06/2000;0000;;20.5;;5.2;3.5;16.06;73.75;4.4;
83781;03/06/2000;1200;0;;12.7;;;;;;
83781;04/06/2000;0000;;21;;6.2;6;16.58;82.5;3.633333;
83781;04/06/2000;1200;0;;14.5;;;;;;
83781;05/06/2000;0000;;22.5;;6;3;17.08;76;2.366667;
83781;05/06/2000;1200;0;;12.8;;;;;;
83781;06/06/2000;0000;;24.7;;9.2;2.5;18.24;63;1.9;
83781;06/06/2000;1200;0;;12.5;;;;;;
83781;07/06/2000;0000;;25.3;;9.5;3.7;18.66;56.75;1.733333;
83781;07/06/2000;1200;0;;12.9;;;;;;
83781;08/06/2000;0000;;25.7;;9.3;5.3;20.08;54;2.6;
83781;08/06/2000;1200;0;;14.7;;;;;;
83781;09/06/2000;0000;;25.1;;4.8;6;18.8;69.75;2.333333;
83781;09/06/2000;1200;0;;14.7;;;;;;
83781;10/06/2000;0000;;23.7;;4.1;3.5;18.44;76.5;1.866667;
83781;10/06/2000;1200;0;;15.7;;;;;;
83781;11/06/2000;0000;;24.7;;4.1;2.6;19;61;1.633333;
83781;11/06/2000;1200;0;;14.5;;;;;;
83781;12/06/2000;0000;;25.5;;3.2;5.3;19.9;63.75;1.066667;
83781;12/06/2000;1200;0;;15.3;;;;;;
83781;13/06/2000;0000;;24.5;;5.8;3.7;18.64;69.25;2.533333;
83781;13/06/2000;1200;0;;13.9;;;;;;
83781;14/06/2000;0000;;25.7;;7.6;3.2;18.54;71.5;1.8;
83781;14/06/2000;1200;0;;13.2;;;;;;
83781;15/06/2000;0000;;28.1;;7.1;4.3;19.06;71;2.3;
83781;15/06/2000;1200;0;;13.2;;;;;;
83781;16/06/2000;0000;;26.8;;7.5;3.9;19.66;64.75;1.733333;
83781;16/06/2000;1200;0;;13.7;;;;;;
83781;17/06/2000;0000;;27.3;;4.9;4.6;19.38;78.25;2.633333;
83781;17/06/2000;1200;0;;14.7;;;;;;
83781;18/06/2000;0000;;23.8;;3.8;3.2;18.26;78.5;1.6;
83781;18/06/2000;1200;0;;15.1;;;;;;
83781;19/06/2000;0000;;25.7;;1.7;2.4;19.94;61.75;2.6;
83781;19/06/2000;1200;0;;14.4;;;;;;
83781;20/06/2000;0000;;25.4;;2.2;5.3;19.34;76;1.5;
83781;20/06/2000;1200;0;;16.9;;;;;;
83781;21/06/2000;0000;;18.6;;1.2;2.6;14.24;84;2.766667;
83781;21/06/2000;1200;11.4;;12.2;;;;;;
83781;22/06/2000;0000;;18.9;;8;1.5;11.3;62.25;1.9;
83781;22/06/2000;1200;0.6;;6.2;;;;;;
83781;23/06/2000;0000;;22.8;;7;4.5;14.42;55.5;1.8;
83781;23/06/2000;1200;0;;6.7;;;;;;
83781;24/06/2000;0000;;26.5;;8;5;19.3;44;4.166667;
83781;24/06/2000;1200;0;;9.8;;;;;;
83781;25/06/2000;0000;;27.7;;6;7.8;20.88;52.25;4.066667;
83781;25/06/2000;1200;0;;16.1;;;;;;
83781;26/06/2000;0000;;27.5;;5.7;6.6;21.08;70.5;1.766667;
83781;26/06/2000;1200;0;;16.7;;;;;;
83781;27/06/2000;0000;;25.5;;4.8;4.8;19.24;71.75;2.966667;
83781;27/06/2000;1200;0;;16.7;;;;;;
83781;28/06/2000;0000;;27.6;;7.8;3.5;20.86;54.75;3.833333;
83781;28/06/2000;1200;0;;15.9;;;;;;
83781;29/06/2000;0000;;27;;2.9;8.5;22.04;38.5;3.866667;
83781;29/06/2000;1200;0;;17.2;;;;;;
83781;30/06/2000;0000;;22.8;;2.4;10.5;17.72;70;4.566667;
83781;30/06/2000;1200;0;;15.7;;;;;;
83781;01/07/2000;0000;;22.3;;7.7;4;16.56;71.25;1.633333;
83781;01/07/2000;1200;0;;12.4;;;;;;
